"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","echo/resource?param1=sample",197,0,150,223,140,2693,0,3.23,0.00,150,150,160,160,320,490,1300,1900,2700,2700,2700,2700
"POST","patient/",100,0,71,700,13,11644,317,1.64,0.00,72,130,240,320,810,7300,11000,12000,12000,12000,12000,12000
"POST","patient/search",90,0,130,197,50,1409,67723,1.48,0.00,130,160,250,270,430,690,970,1400,1400,1400,1400,1400
"PUT","patient/{ramdom_id}",118,0,74,112,55,737,343,1.94,0.00,75,88,120,130,250,290,390,510,740,740,740,740
"GET","patient/{random_id}",212,0,71,232,49,7350,314,3.48,0.00,72,120,170,200,380,730,1300,1600,7400,7400,7400,7400
"POST","patient/{random_id}/tests",165,0,74,351,11,8858,363,2.71,0.00,74,140,240,300,680,1700,3500,3800,8900,8900,8900,8900
"GET","patient/{random_id}/tests/",109,0,66,288,8,6481,1012,1.79,0.00,66,110,190,250,740,1200,2300,2600,6500,6500,6500,6500
"GET","patient/{random_pid}/tests/{random_tid}",129,0,66,172,8,1489,386,2.12,0.00,66,100,180,240,420,740,1100,1100,1500,1500,1500,1500
"None","Aggregated",1120,0,97,273,8,11644,5762,18.37,0.00,97,150,170,220,430,800,1800,3800,11000,12000,12000,12000
